#name,id,P12,P13,P14,P15,kpi7_avg,kpi7_max,
,1,95 ,60 ,30 ,0 ,26 ,31 ,TRUE
,2,95 ,60 ,30 ,1 ,26 ,29 ,TRUE
,3,95 ,60 ,30 ,2 ,26 ,29 ,TRUE
,4,95 ,60 ,30 ,4 ,26 ,31 ,TRUE
,5,95 ,60 ,30 ,5 ,26 ,31 ,TRUE
,6,95 ,60 ,30 ,7 ,26 ,28 ,TRUE
,7,95 ,60 ,30 ,8 ,26 ,30 ,TRUE
,8,95 ,60 ,30 ,10 ,26 ,33 ,TRUE
,9,95 ,60 ,37 ,0 ,25 ,30 ,TRUE
,10,95 ,60 ,37 ,1 ,26 ,33 ,TRUE
,11,95 ,60 ,37 ,2 ,26 ,32 ,TRUE
,12,95 ,60 ,37 ,4 ,25 ,32 ,TRUE
,13,95 ,60 ,37 ,5 ,26 ,32 ,TRUE
,14,95 ,60 ,37 ,7 ,26 ,32 ,TRUE
,15,95 ,60 ,37 ,8 ,26 ,30 ,TRUE
,16,95 ,60 ,37 ,10 ,26 ,29 ,TRUE
,17,95 ,60 ,44 ,0 ,25 ,30 ,TRUE
,18,95 ,60 ,44 ,1 ,25 ,29 ,TRUE
,19,95 ,60 ,44 ,2 ,26 ,30 ,TRUE
,20,95 ,60 ,44 ,4 ,25 ,30 ,TRUE
,21,95 ,60 ,44 ,5 ,25 ,29 ,TRUE
,22,95 ,60 ,44 ,7 ,25 ,29 ,TRUE
,23,95 ,60 ,44 ,8 ,26 ,31 ,TRUE
,24,95 ,60 ,44 ,10 ,25 ,31 ,TRUE
,25,95 ,60 ,51 ,0 ,25 ,30 ,TRUE
,26,95 ,60 ,51 ,1 ,25 ,29 ,TRUE
,27,95 ,60 ,51 ,2 ,25 ,27 ,TRUE
,28,95 ,60 ,51 ,4 ,25 ,32 ,TRUE
,29,95 ,60 ,51 ,5 ,26 ,30 ,TRUE
,30,95 ,60 ,51 ,7 ,25 ,29 ,TRUE
,31,95 ,60 ,51 ,8 ,26 ,29 ,TRUE
,32,95 ,60 ,51 ,10 ,26 ,30 ,TRUE
,33,95 ,60 ,58 ,0 ,25 ,31 ,TRUE
,34,95 ,60 ,58 ,1 ,25 ,29 ,TRUE
,35,95 ,60 ,58 ,2 ,25 ,31 ,TRUE
,36,95 ,60 ,58 ,4 ,25 ,27 ,TRUE
,37,95 ,60 ,58 ,5 ,25 ,29 ,TRUE
,38,95 ,60 ,58 ,7 ,26 ,28 ,TRUE
,39,95 ,60 ,58 ,8 ,26 ,30 ,TRUE
,40,95 ,60 ,58 ,10 ,25 ,29 ,TRUE
,41,95 ,60 ,65 ,0 ,25 ,29 ,TRUE
,42,95 ,60 ,65 ,1 ,26 ,29 ,TRUE
,43,95 ,60 ,65 ,2 ,25 ,30 ,TRUE
,44,95 ,60 ,65 ,4 ,26 ,32 ,TRUE
