#name,id,kpi7_avg,kpi7_max
,1,26 ,31 
,2,26 ,29 
,3,26 ,29 
,4,26 ,31 
,5,26 ,31 
,6,26 ,28 
,7,26 ,30 
,8,26 ,33 
,9,25 ,30 
,10,26 ,33 
,11,26 ,32 
,12,25 ,32 
,13,26 ,32 
,14,26 ,32 
,15,26 ,30 
,16,26 ,29 
,17,25 ,30 
,18,25 ,29 
,19,26 ,30 
,20,25 ,30 
,21,25 ,29 
,22,25 ,29 
,23,26 ,31 
,24,25 ,31 
,25,25 ,30 
,26,25 ,29 
,27,25 ,27 
,28,25 ,32 
,29,26 ,30 
,30,25 ,29 
,31,26 ,29 
,32,26 ,30 
,33,25 ,31 
,34,25 ,29 
,35,25 ,31 
,36,25 ,27 
,37,25 ,29 
,38,26 ,28 
,39,26 ,30 
,40,25 ,29 
,41,25 ,29 
,42,26 ,29 
,43,25 ,30 
,44,26 ,32 
,45,25 ,29 
,46,26 ,31 
,47,26 ,31 
,48,25 ,28 
,49,26 ,30 
,50,26 ,29 
,51,25 ,30 
,52,25 ,28 
,53,25 ,30 
,54,25 ,30 
,55,26 ,30 
,56,25 ,28 
,57,26 ,32 
,58,26 ,32 
,59,26 ,32 
,60,26 ,31 
,61,25 ,29 
,62,26 ,33 
,63,26 ,30 
,64,26 ,33 
,65,26 ,31 
,66,25 ,35 
,67,26 ,32 
,68,25 ,29 
,69,26 ,31 
,70,27 ,32 
,71,26 ,30 
,72,26 ,31 
,73,25 ,29 
,74,26 ,30 
,75,26 ,32 
,76,26 ,30 
,77,25 ,28 
,78,25 ,29 
,79,26 ,31 
,80,26 ,31 
,81,26 ,31 
,82,25 ,28 
,83,26 ,30 
,84,25 ,33 
,85,26 ,33 
,86,25 ,31 
,87,26 ,29 
,88,25 ,28 
,89,26 ,29 
,90,25 ,31 
,91,26 ,32 
,92,26 ,31 
,93,25 ,32 
,94,25 ,29 
,95,25 ,28 
,96,25 ,31 
,97,25 ,32 
,98,25 ,32 
,99,25 ,30 
,100,25 ,29 
,101,26 ,33 
,102,25 ,28 
,103,25 ,30 
,104,25 ,29 
,105,25 ,30 
,106,26 ,30 
,107,25 ,32 
,108,25 ,29 
,109,25 ,30 
,110,26 ,32 
